2025-09-10 09:29:27 | INFO     | trading_grid.evaluator.evaluator:run:14 - 开始评估股票 000967 的因子
2025-09-10 09:35:39 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 volatility...
2025-09-10 09:35:39 | INFO     | trading_grid.evaluator.evaluator:run:45 - 因子 volatility 评估完成，结果: {'factor': 'volatility', 'name': '波动率', 'value': 0.159, 'threshold': '0.05 - 0.50', 'conclusion': '适中，适合网格', 'is_passed': True}
2025-09-10 09:35:39 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 pe_ratio...
2025-09-10 09:35:39 | INFO     | trading_grid.evaluator.evaluator:run:45 - 因子 pe_ratio 评估完成，结果: {'factor': 'pe_ratio', 'name': '市盈率', 'value': 25.0, 'threshold': '< 50', 'conclusion': '估值合理', 'is_passed': True}
2025-09-10 09:35:39 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 liquidity...
2025-09-10 09:35:39 | WARNING  | trading_grid.evaluator.evaluator:run:20 - 因子 liquidity 未注册，跳过评估
2025-09-10 09:35:39 | INFO     | trading_grid.evaluator.evaluator:run:47 - 股票 000967 的因子评估完成，共评估 3 个因子
2025-09-10 09:35:59 | INFO     | trading_grid.evaluator.evaluator:run:14 - 开始评估股票 000967 的因子
2025-09-10 09:35:59 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 volatility...
2025-09-10 09:35:59 | INFO     | trading_grid.evaluator.evaluator:run:45 - 因子 volatility 评估完成，结果: {'factor': 'volatility', 'name': '波动率', 'value': 0.159, 'threshold': '0.05 - 0.50', 'conclusion': '适中，适合网格', 'is_passed': True}
2025-09-10 09:35:59 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 pe_ratio...
2025-09-10 09:35:59 | INFO     | trading_grid.evaluator.evaluator:run:45 - 因子 pe_ratio 评估完成，结果: {'factor': 'pe_ratio', 'name': '市盈率', 'value': 25.0, 'threshold': '< 50', 'conclusion': '估值合理', 'is_passed': True}
2025-09-10 09:35:59 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 liquidity...
2025-09-10 09:35:59 | WARNING  | trading_grid.evaluator.evaluator:run:20 - 因子 liquidity 未注册，跳过评估
2025-09-10 09:35:59 | INFO     | trading_grid.evaluator.evaluator:run:47 - 股票 000967 的因子评估完成，共评估 3 个因子
2025-09-10 09:42:35 | INFO     | trading_grid.evaluator.evaluator:run:14 - 开始评估股票 000967 的因子
2025-09-10 09:42:35 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 volatility...
2025-09-10 09:42:35 | INFO     | trading_grid.evaluator.evaluator:run:45 - 因子 volatility 评估完成，结果: {'factor': 'volatility', 'name': '波动率', 'value': 0.159, 'threshold': '0.05 - 0.50', 'conclusion': '适中，适合网格', 'is_passed': True}
2025-09-10 09:42:35 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 pe_ratio...
2025-09-10 09:42:35 | INFO     | trading_grid.evaluator.evaluator:run:45 - 因子 pe_ratio 评估完成，结果: {'factor': 'pe_ratio', 'name': '市盈率', 'value': 25.0, 'threshold': '< 50', 'conclusion': '估值合理', 'is_passed': True}
2025-09-10 09:42:35 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 liquidity...
2025-09-10 09:42:35 | WARNING  | trading_grid.evaluator.evaluator:run:20 - 因子 liquidity 未注册，跳过评估
2025-09-10 09:42:35 | INFO     | trading_grid.evaluator.evaluator:run:47 - 股票 000967 的因子评估完成，共评估 3 个因子
2025-09-10 09:44:16 | INFO     | trading_grid.evaluator.evaluator:run:14 - 开始评估股票 000967 的因子
2025-09-10 09:44:16 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 volatility...
2025-09-10 09:44:16 | INFO     | trading_grid.evaluator.evaluator:run:45 - 因子 volatility 评估完成，结果: {'factor': 'volatility', 'name': '波动率', 'value': 0.159, 'threshold': '0.05 - 0.50', 'conclusion': '适中，适合网格', 'is_passed': True}
2025-09-10 09:44:16 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 pe_ratio...
2025-09-10 09:44:16 | INFO     | trading_grid.evaluator.evaluator:run:45 - 因子 pe_ratio 评估完成，结果: {'factor': 'pe_ratio', 'name': '市盈率', 'value': 25.0, 'threshold': '< 50', 'conclusion': '估值合理', 'is_passed': True}
2025-09-10 09:44:16 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 liquidity...
2025-09-10 09:44:16 | WARNING  | trading_grid.evaluator.evaluator:run:20 - 因子 liquidity 未注册，跳过评估
2025-09-10 09:44:16 | INFO     | trading_grid.evaluator.evaluator:run:47 - 股票 000967 的因子评估完成，共评估 3 个因子
2025-09-10 09:44:19 | INFO     | trading_grid.evaluator.evaluator:run:14 - 开始评估股票 000967 的因子
2025-09-10 09:44:19 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 volatility...
2025-09-10 09:44:19 | INFO     | trading_grid.evaluator.evaluator:run:45 - 因子 volatility 评估完成，结果: {'factor': 'volatility', 'name': '波动率', 'value': 0.159, 'threshold': '0.05 - 0.50', 'conclusion': '适中，适合网格', 'is_passed': True}
2025-09-10 09:44:19 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 pe_ratio...
2025-09-10 09:44:19 | INFO     | trading_grid.evaluator.evaluator:run:45 - 因子 pe_ratio 评估完成，结果: {'factor': 'pe_ratio', 'name': '市盈率', 'value': 25.0, 'threshold': '< 50', 'conclusion': '估值合理', 'is_passed': True}
2025-09-10 09:44:19 | INFO     | trading_grid.evaluator.evaluator:run:17 - 正在评估因子 liquidity...
2025-09-10 09:44:19 | WARNING  | trading_grid.evaluator.evaluator:run:20 - 因子 liquidity 未注册，跳过评估
2025-09-10 09:44:19 | INFO     | trading_grid.evaluator.evaluator:run:47 - 股票 000967 的因子评估完成，共评估 3 个因子
